,text
181.0,Well.....I liked the story and the personality of the characters. I loved how Alice brought everyone together. I also loved the unconventional family that she brought together. My only beef and it is only me because this is just a personal preference is that when I read I like more masculine leads with m/m. Rue and Erik were not my normal leads choice but the story was still sweet and I will read the next one to find out what happens next. I did love the quirkiness of Erik and how he over came so many challenges to finally be free of his own demons so he could find love.
516.0,"A charming, tea drinker's tale about the furtive and futile impulses of a collection of aging British upper-crusters and their household help; a collection of their scheming, their fears, their denials, and their consideration. Perhaps quite cutting edge in its day. Spoiler Alert: Everyone dies in the end."
57.0,"I liked the first novel in The Custard Protocol, but it seemed...more forced, I guess than this one. Perhaps, the characters are better able to stand on their own after the events of Prudence, which isn't a bad thing. In my mind, the characters grew more and were better able to step out of the shadows of their parent's shadows from The Parasol Protectorate series. I give this book Two Parasols Up! Very much enjoyed and I look forward to future installments."
524.0,"I love an erotic suspense and dark romance as much as the next person but this book just didn't quite do it for me. I literally felt dropped right into the middle of a story that had already begun, which was very disorienting. While many readers are raving about this book, for me there was no connection between the main characters and many of their actions felt mechanical, and the story, formulaic. I still would love to read the other books by this author, because their story lines sound very intriguing. Giving credit here for a very strong, kick-ass heroine, and a surprising ending. (ARC provided by the author in return for an honest review.)"
275.0,This book was awesome!! I loved how the author replicated the feeling of doing archival research by using multiple narrators as well as faux historical documents. Each character here was engaging and fully realized. I was completely engrossed in both the 19th and 21st century plot lines. It was hard to put this down. Highly recommended.
526.0,"3.5 Stars Kate McCarthy is a favorite author of mine but surprisingly this book just did not do it for me. Although the book features a very strong heroine and and a talented but tortured hero, which I loved, the plot of this book fell flat for me and the so-called scandal was absolutely not scandalous in my eyes at all. Lots of readers fell in love with this book so definitely give this one a try and judge for yourself. I adore Kate McCarthy (Redemption is one of my top favorites) and look forward to her next book!"
204.0,"Restaurant owner Violet and single father/barbecue phenom Hogan find their personal and professional lives entwined as they discover that the perfect mate is definitely worth waiting for. Foster is my go to author for sweet sexy romance with just a smidge of suspense- she never lets me down. The main romance, secondary romance, & even a third young love story thread are all balanced perfectly. Fans- especially ones who enjoyed Don't Tempt Me should put this novel on their must read list. Thank you to Harlequin and Netgalley for providing this ARC in exchange for an honest review."
789.0,"Listened to audiobook. Characters are flat and predictable. The writing is uneven and uninspired. While I'm certain this shouldn't bother me as much as it did, what teenager today is named 'Olive'? I felt that every plot point was dealt with superficially, and there were so, so many. Including fewer and explorIng them in more depth might have enhanced the novel."
12.0,"4.5 stars! Block out some time and get comfortable, because Behind Her Eyes is the kind of thriller that you'll want to read in one sitting- and then maybe read again as you come to terms with the shocking twists and clever stylings of Pinborough's creation. Even veteran suspense fans will be surprised while they shadow slightly depressed single mother Louise as she finds herself drawn into the unsettling marriage dynamics between handsome David and secretive Adele. #WTFthatending indeed! Thank you to Macmillan and St. Martin's Press for providing this ARC in exchange for an honest review."
172.0,"Some of the stuff with the painting seems a little slapdash but the rest of this book is so good that it makes up for that minor flaw. Great characters, very tense narrative. I was gripped and horrified by the details of Rosie and Norman's horrendous abusive marriage and really enjoyed the structure of the book: the chapters alternate between Rosie establishing a new life in hiding and Norman pursuing her to kill her. Norman is a great antagonist and the protagonist is very engaging. Good supporting characters and scene setting as well."
174.0,"Consistently entertaining and engaging though somewhat cliched at points. Character development was pretty strong and the prose was good. However, I can't help but wonder if this book would have been different if it came out after Dave Cullen's myth shattering book about Columbine, because this author seemed very wedded to a causal explanation of school shootings that seems a bit dated. This was pretty predictable. Marred by a really stupid twist at the end."
44.0,"A fun trash read. This book is pretty corny and ridiculous: full of stilted dialogue, florid prose, and (to put it mildly) certain implausibilities in both plot and characterization. I admire how boldly crazy it is and I admit I became entranced by this bizarre world. Hardly the height of literary quality but a cool, enjoyable read nonetheless."
30.0,"I'm a goof about reading my son's school books, I guess. That's why I read this, this, wondrous coming-of-adulthood tale of woe that befalls plain Ed Kennedy. The pace is excellent, and while I had an idea where it was going, I also appreciated the curves in the road. Delightful scenery, that, Mr. Zusak. The end felt a bit abrupt, but by then I was quite taken by the messenger, and I can forgive a hastily tied plot hole if the rest seems seamless."
110.0,"Jake and his girlfriend are traveling to a remote farm so that she can meet his parents for the first time. Unfortunately for Jake, during the drive his (unnamed) girlfriend has basically come to the internal conclusion that she needs to end things with him. Unfortunately for her, she would have been much better off if she had come to that realization before the family dinner, before the detour, before things went very, very wrong. This is a wonderfully eerie and surprising little book that will keep you thinking long after the final conclusion. This book was obtained at BEA16 in exchange for an honest review."
177.0,"Not nearly as strong as the first two books. Overly long, very repetitive. This is overloaded with dead end subplots and boring retreads of stuff already done better in the first two books. I was fine with how everyone ultimately ended up, but it was such a drag to get there. However, I was pleasantly surprised and very glad that (big spoiler about the ending under the tag)  the protagonist's love interest dies at the end both because I thought that was a bold and novel choice and because he was such an annoying character and their relationship was implausible."
