,text
564.0,"I was gonna give this book 3 stars, but I decided on 2 because justifying attempted rape is never o.k. I felt like this book set out to be one of those deep, pretentious books that set out to give you life lessons. I will admit that it did a good job of not being pretentious. It was extremely emotionally manipulative, however."
93.0,"I liked it a lot, but it doesn't really stand alone; it's too much of a setup for what I assume are going to be Rose's later emotional discoveries. I'm very impressed by Rose, though, and would like to follow her further!"
563.0,"This book is all about female empowerment while also tackling many subjects such as racism, stereotyping, and sexuality. Seriously, it covers EVERYTHING. Feminism ftw. I like how it doesn't take itself too seriously though."
235.0,Short but a very nice introduction to the book series. I actually really quite enjoyed it a lot! I thought it was nice that the main character was gay and I like how the rest of the story is set up in this 'foundation'.
28.0,"I have read every Outlander novel multiple times, and this one I read the least. Not because it's not excellent, but because it rips my heart out EVERY SINGLE TIME! Oh, it could all bed the King, or make men cover with a single White Lady glare."
614.0,"** spoiler alert ** I equally loved book 2, and am definitely hooked. I did feel it took a little while for them to get to sea, but I guess we can't bring in a love interest if we aren't on the land! My favorite thing by far was the Lively, and the descriptions of how fast she is and how much care the crew took keeping her a crack ship. Pride in what you do can be a great motivator. I also loved how Jack made them work the guns against all the batteries for practice."
339.0,"A great example of a New Adult romance romance novel- filled with real and emotional story lines, tough situations, wonderful relationship, and new experiences."
627.0,"Original and refreshing, not to mention amazing. I love Marion's style of writing and I think I'm going to be eagerly awaiting ANY new book he writes. Even more stoked for the movie now. Beware of the explicit language in this book though. (Although the only cuss word that is constantly used in this book is the ""F"" word, it's used quite often.) Also, not gonna lie, there may have been oh, two or three parts (or 5+) that literally made me LOL and glad that I wasn't reading this in public... 5/5 (I would give it more stars if I could)."
553.0,Writing is all over the place. My first Megan Hart book. No clear point of view.
1.0,"I read this book before watching the movie (thank goodness, the movie was awful), and I enjoyed it immensely. The science and suspense were woven together in an exotic place to form a book that I look forward to reading again someday. I read it a long time ago, and though I can't remember details from it, I do recall being completely absorbed in it and left with some creepy imagery. I'm curious to see if it will be the same the second time around."
899.0,"April 17, 2014 : Wow that suspense update : April 12, 2014: After 2 years, I'm going to try this book again, now that the trilogy just ended a few days ago. I hope I'll like it more and maybe I'll also get into it. (Probably because I was 12 years old when I was trying to read this...too young.) this book wasn't my type of genre, i suppose ... i got bored, but it did seem interesting and i hope i'll try to read it again."
567.0,"This book was everything. I actually think I liked it a little more than the first one. (Only a little, because the first one was amazing, but still.) I never thought I would like this series as much as I do now. How these books manage to pack in so much action and create such great characters in the format that they do is incredible to me."
574.0,"4.5 stars, scorching hot sex scenes and great characters but the grammar took away from my enjoyment of the story."
531.0,"Considering most of the reviews I've seen about this book so far have been so-so, I really enjoyed it! I will say that I'm not at all a fan of scary movies and I tend to get scared very easily, so this may not be as exciting to hard core horror fans, but if you're like me and you want to dip your feet into the genre, I think this was great. Most people also didn't like the fact that the murderer gets revealed fairly early on, but the book didn't focus on who was commiting the crimes, but why they were commiting them, and I actually really enjoyed that aspect."
746.0,"Really excellent, I think this has been my favorite Shadowhunter Academy installment so far. It was very cute and brought in a lot of characters from The Mortal Instruments, which I always love to see. I think if you ship Malec you'll love this one"
623.0,"It has been a while since I read it so I have forgotten details, but I remember mostly liking it. I wondered if amnesia would alter a personality as much as shown, but the author did do research. And the fiance's getting to know the new woman is a sort of reminder that we do change and that we shouldn't assume details about another."
591.0,"This started off with a bang, absolutely hilarious! This series should probably be read in order and I will defintiely read the first book to see what all the fuss is about. Tapping Her is a super-quick, very dirty and very funny bit of romantic comedy, with some laugh-out-loud moments and a great male POV. There is nothing emotional or angsty about this book and it's just a little something to pick up in between heavier reads. Not too much of a plot here, so don't expect War and Peace."
